Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDT01,13.65,Regular,0.18454121,Canned,211,OUT045,2002,,Tier 2,Supermarket Type1,4672
NCR38,17.25,Low Fat,0.114160573,Household,253,OUT017,2007,,Tier 2,Supermarket Type1,3775
DRF01,5.655,Low Fat,0.175352413,Soft Drinks,147,OUT049,1999,Medium,Tier 1,Supermarket Type1,2478
FDF53,20.75,Regular,0.083590755,Frozen Foods,182,OUT035,2004,Small,Tier 2,Supermarket Type1,3067
FDS45,5.175,Regular,0.029471408,Snack Foods,105,OUT013,1987,High,Tier 3,Supermarket Type1,3281
FDR20,20,Regular,0.028282832,Fruits and Vegetables,46,OUT017,2007,,Tier 2,Supermarket Type1,1086
FDY07,11.8,Low Fat,0,Fruits and Vegetables,46,OUT010,1998,,Tier 3,Grocery Store,229
FDD38,16.75,Regular,0.008208342,Canned,102,OUT045,2002,,Tier 2,Supermarket Type1,1528
DRF15,18.35,Low Fat,0.03334929,Dairy,155,OUT018,2009,Medium,Tier 3,Supermarket Type2,1990
FDH32,12.8,Low Fat,0.076060037,Fruits and Vegetables,95,OUT046,1997,Small,Tier 1,Supermarket Type1,868
NCJ42,19.75,Low Fat,0.014301326,Household,103,OUT046,1997,Small,Tier 1,Supermarket Type1,1230
FDB56,8.75,Regular,0.074931201,Fruits and Vegetables,187,OUT018,2009,Medium,Tier 3,Supermarket Type2,938
FDD03,13.3,Low Fat,0.080131363,Dairy,234,OUT018,2009,Medium,Tier 3,Supermarket Type2,4194
NCL18,18.85,Low Fat,0.167444431,Household,194,OUT013,1987,High,Tier 3,Supermarket Type1,1166
FDW22,9.695,Regular,0.03033748,Snack Foods,222,OUT049,1999,Medium,Tier 1,Supermarket Type1,5764
FDE32,20.7,Low Fat,0.04874969,Fruits and Vegetables,37,OUT035,2004,Small,Tier 2,Supermarket Type1,113
FDA34,,Low Fat,0.014788594,Starchy Foods,174,OUT027,1985,Medium,Tier 3,Supermarket Type3,7443
FDJ08,11.1,Low Fat,0.111298111,Fruits and Vegetables,191,OUT017,2007,,Tier 2,Supermarket Type1,3057
FDG38,8.975,Regular,0.05268526,Canned,83,OUT013,1987,High,Tier 3,Supermarket Type1,3579
FDD29,12.15,Low Fat,0.018485511,Frozen Foods,253,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522
NCE31,7.67,Low Fat,0.184689756,Household,35,OUT013,1987,High,Tier 3,Supermarket Type1,450
FDS19,13.8,Regular,0.064153845,Fruits and Vegetables,76,OUT013,1987,High,Tier 3,Supermarket Type1,607
FDU11,4.785,Low Fat,0.092516598,Breads,120,OUT013,1987,High,Tier 3,Supermarket Type1,1325
FDL02,20,Regular,0.104245198,Canned,105,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270
FDO51,,Regular,0.041779181,Meat,43,OUT027,1985,Medium,Tier 3,Supermarket Type3,1107
DRK23,8.395,Low Fat,0.07226985,Hard Drinks,254,OUT018,2009,Medium,Tier 3,Supermarket Type2,3542
FDO27,6.175,Regular,0.179806961,Meat,95,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534
FDB16,8.21,Low Fat,0.044995631,Dairy,89,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308
FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55,OUT017,2007,,Tier 2,Supermarket Type1,1471
NCB18,19.6,Low Fat,0.041459372,Household,89,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239
NCL53,7.5,Low Fat,0.036234918,Health and Hygiene,175,OUT046,1997,Small,Tier 1,Supermarket Type1,3896
FDR16,5.845,Regular,0.105445801,Frozen Foods,214,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496
NCQ05,11.395,LF,0,Health and Hygiene,151,OUT013,1987,High,Tier 3,Supermarket Type1,3460
FDF44,7.17,Regular,0.05997133,Fruits and Vegetables,132,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870
FDU50,5.75,Regular,0.075595405,Dairy,114,OUT017,2007,,Tier 2,Supermarket Type1,1259
FDG20,15.5,Regular,0.210375806,Fruits and Vegetables,178,OUT010,1998,,Tier 3,Grocery Store,177
FDD58,7.76,Low Fat,0.059341019,Snack Foods,99,OUT035,2004,Small,Tier 2,Supermarket Type1,798
FDT01,13.65,Regular,0.18520944,Canned,212,OUT017,2007,,Tier 2,Supermarket Type1,3185
FDK15,10.8,Low Fat,0.098566832,Meat,98,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488
FDJ08,11.1,Low Fat,0.11084417,Fruits and Vegetables,189,OUT049,1999,Medium,Tier 1,Supermarket Type1,5159
FDS10,,Low Fat,0.0350152,Snack Foods,182,OUT027,1985,Medium,Tier 3,Supermarket Type3,5954
FDJ55,12.8,Regular,0.023567538,Meat,226,OUT049,1999,Medium,Tier 1,Supermarket Type1,4500
FDU32,8.785,Low Fat,0,Fruits and Vegetables,123,OUT010,1998,,Tier 3,Grocery Store,121
FDG09,20.6,Regular,0.04792722,Fruits and Vegetables,185,OUT035,2004,Small,Tier 2,Supermarket Type1,4318
FDE39,7.89,Low Fat,0.036207786,Dairy,121,OUT045,2002,,Tier 2,Supermarket Type1,3456
FDU56,16.85,Low Fat,0.044377096,Fruits and Vegetables,185,OUT013,1987,High,Tier 3,Supermarket Type1,1659
NCH55,16.35,Low Fat,0.034742632,Household,127,OUT045,2002,,Tier 2,Supermarket Type1,759
FDX33,,Regular,0.116915909,Snack Foods,159,OUT027,1985,Medium,Tier 3,Supermarket Type3,4974
FDR24,17.35,Regular,0.062979148,Baking Goods,87,OUT045,2002,,Tier 2,Supermarket Type1,1707
FDC33,,Regular,0.068604503,Fruits and Vegetables,197,OUT027,1985,Medium,Tier 3,Supermarket Type3,7488
NCV54,,Low Fat,0.03294861,Household,116,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488
NCQ02,12.6,Low Fat,0.007450258,Household,186,OUT013,1987,High,Tier 3,Supermarket Type1,2816
NCU17,5.32,Low Fat,0.093027718,Health and Hygiene,101,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954
NCZ06,,Low Fat,0.164864915,Household,255,OUT019,1985,Small,Tier 1,Grocery Store,761
FDV37,13,Regular,0.083498083,Canned,199,OUT035,2004,Small,Tier 2,Supermarket Type1,593
DRH25,,Low Fat,0.014522363,Soft Drinks,50,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298
NCI43,19.85,Low Fat,0.025963795,Household,46,OUT035,2004,Small,Tier 2,Supermarket Type1,1150
NCQ53,17.6,Low Fat,0.019012262,Health and Hygiene,237,OUT017,2007,,Tier 2,Supermarket Type1,3072
NCT18,14.6,Low Fat,0.059393919,Household,181,OUT035,2004,Small,Tier 2,Supermarket Type1,3259
FDF14,7.55,Low Fat,0.027212058,Canned,152,OUT049,1999,Medium,Tier 1,Supermarket Type1,2756
FDM14,13.8,Low Fat,0.013263968,Canned,106,OUT046,1997,Small,Tier 1,Supermarket Type1,2930
FDX57,17.25,Regular,0.079113947,Snack Foods,99,OUT010,1998,,Tier 3,Grocery Store,97
NCV05,10.1,Low Fat,0.03020851,Health and Hygiene,153,OUT046,1997,Small,Tier 1,Supermarket Type1,1544
FDX39,14.3,Regular,0.049634817,Meat,212,OUT013,1987,High,Tier 3,Supermarket Type1,3165
FDA23,9.8,Low Fat,0.047187038,Baking Goods,100,OUT046,1997,Small,Tier 1,Supermarket Type1,1619
NCV06,11.3,Low Fat,0.066681333,Household,194,OUT046,1997,Small,Tier 1,Supermarket Type1,387
NCE31,7.67,Low Fat,0.185218446,Household,36,OUT045,2002,,Tier 2,Supermarket Type1,415
DRI39,13.8,Low Fat,0.162462044,Dairy,55,OUT010,1998,,Tier 3,Grocery Store,226
FDH21,10.395,Low Fat,0.031273559,Seafood,160,OUT049,1999,Medium,Tier 1,Supermarket Type1,1267
FDR26,20.7,Low Fat,0.042836778,Dairy,175,OUT046,1997,Small,Tier 1,Supermarket Type1,1593
FDA14,,Low Fat,0.114127418,Dairy,147,OUT019,1985,Small,Tier 1,Grocery Store,585
FDG21,17.35,Regular,0.146895866,Seafood,149,OUT018,2009,Medium,Tier 3,Supermarket Type2,3745
NCQ38,16.35,Low Fat,0.013420879,Others,104,OUT018,2009,Medium,Tier 3,Supermarket Type2,1810
FDN20,19.35,Low Fat,0.026181893,Fruits and Vegetables,167,OUT046,1997,Small,Tier 1,Supermarket Type1,2358
NCN29,15.2,Low Fat,0.012184999,Health and Hygiene,50,OUT017,2007,,Tier 2,Supermarket Type1,145
FDI28,14.3,Low Fat,0.026428924,Frozen Foods,78,OUT018,2009,Medium,Tier 3,Supermarket Type2,554
FDA03,,Regular,0.045243613,Dairy,146,OUT027,1985,Medium,Tier 3,Supermarket Type3,3499
FDZ28,20,Regular,0,Frozen Foods,127,OUT046,1997,Small,Tier 1,Supermarket Type1,1780
FDO52,,Regular,0.076790922,Frozen Foods,172,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566
FDU10,10.1,Regular,0.045950475,Snack Foods,38,OUT017,2007,,Tier 2,Supermarket Type1,1230
FDP13,,Regular,0.133673087,Canned,41,OUT027,1985,Medium,Tier 3,Supermarket Type3,918
FDV02,,Low Fat,0.060252433,Dairy,170,OUT027,1985,Medium,Tier 3,Supermarket Type3,3079
FDS28,8.18,reg,0.082529704,Frozen Foods,56,OUT049,1999,Medium,Tier 1,Supermarket Type1,744
FDW49,19.5,Low Fat,0.082552214,Canned,179,OUT046,1997,Small,Tier 1,Supermarket Type1,716
FDP33,18.7,Low Fat,0.089272253,Snack Foods,254,OUT046,1997,Small,Tier 1,Supermarket Type1,5113
FDJ03,12.35,Regular,0.072541731,Dairy,48,OUT045,2002,,Tier 2,Supermarket Type1,886
FDQ51,16,Regular,0.017536671,Meat,45,OUT013,1987,High,Tier 3,Supermarket Type1,1039
DRK23,8.395,Low Fat,0.072088552,Hard Drinks,253,OUT049,1999,Medium,Tier 1,Supermarket Type1,4554
FDU11,4.785,Low Fat,0.092781435,Breads,119,OUT045,2002,,Tier 2,Supermarket Type1,1807
NCK06,5.03,Low Fat,0.008644894,Household,122,OUT035,2004,Small,Tier 2,Supermarket Type1,2665
FDY09,15.6,Low Fat,0.025342692,Snack Foods,174,OUT017,2007,,Tier 2,Supermarket Type1,1751
NCY18,7.285,Low Fat,0.031145743,Household,173,OUT035,2004,Small,Tier 2,Supermarket Type1,2626
FDA10,20.35,Low Fat,0,Snack Foods,120,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470
FDO34,17.7,Low Fat,0.030108283,Snack Foods,165,OUT017,2007,,Tier 2,Supermarket Type1,4362
FDE38,,Low Fat,0.044391149,Canned,164,OUT027,1985,Medium,Tier 3,Supermarket Type3,4476
FDF40,20.25,Regular,0.022639471,Dairy,248,OUT017,2007,,Tier 2,Supermarket Type1,2241
FDY02,8.945,Regular,0,Dairy,264,OUT017,2007,,Tier 2,Supermarket Type1,4733
FDS03,,Low Fat,0.139419417,Meat,66,OUT019,1985,Small,Tier 1,Grocery Store,258
FDB59,18.25,Low Fat,0.015278899,Snack Foods,199,OUT046,1997,Small,Tier 1,Supermarket Type1,3174
NCQ42,20.35,Low Fat,0.039329257,Household,127,OUT049,1999,Medium,Tier 1,Supermarket Type1,2924
FDO15,16.75,Regular,0.008579863,Meat,72,OUT049,1999,Medium,Tier 1,Supermarket Type1,960
DRN47,12.1,Low Fat,0.028164527,Hard Drinks,178,OUT010,1998,,Tier 3,Grocery Store,539
FDA03,18.5,Regular,0,Dairy,144,OUT035,2004,Small,Tier 2,Supermarket Type1,2041
FDA01,15,Regular,0.054367971,Canned,58,OUT035,2004,Small,Tier 2,Supermarket Type1,996
FDB38,19.5,Regular,0.0273467,Canned,158,OUT046,1997,Small,Tier 1,Supermarket Type1,1757
FDT59,13.65,Low Fat,0.016001434,Breads,230,OUT017,2007,,Tier 2,Supermarket Type1,1842
FDG08,13.15,Regular,0.165328057,Fruits and Vegetables,170,OUT035,2004,Small,Tier 2,Supermarket Type1,3435
FDV56,,Regular,0.013529884,Fruits and Vegetables,106,OUT027,1985,Medium,Tier 3,Supermarket Type3,1402
FDY26,20.6,reg,0.030510526,Dairy,211,OUT046,1997,Small,Tier 1,Supermarket Type1,7833
DRE13,6.28,Low Fat,0.027699863,Soft Drinks,87,OUT035,2004,Small,Tier 2,Supermarket Type1,1221
FDE51,5.925,Regular,0.09646733,Dairy,42,OUT046,1997,Small,Tier 1,Supermarket Type1,669
FDL40,17.7,Low Fat,0.011636708,Frozen Foods,94,OUT045,2002,,Tier 2,Supermarket Type1,1061
FDD50,18.85,Low Fat,0.141642219,Canned,168,OUT046,1997,Small,Tier 1,Supermarket Type1,2874
FDC04,,Low Fat,0.044767801,Dairy,241,OUT027,1985,Medium,Tier 3,Supermarket Type3,4592
FDN15,17.5,Low Fat,0.028009382,Meat,141,OUT010,1998,,Tier 3,Grocery Store,419
FDC46,17.7,Low Fat,0.1164455,Snack Foods,182,OUT013,1987,High,Tier 3,Supermarket Type1,5163
FDV56,16.1,Regular,0.013584408,Fruits and Vegetables,107,OUT013,1987,High,Tier 3,Supermarket Type1,323
FDK43,9.8,Low Fat,0.026950104,Meat,128,OUT018,2009,Medium,Tier 3,Supermarket Type2,1265
NCR29,7.565,Low Fat,0.054751689,Health and Hygiene,54,OUT045,2002,,Tier 2,Supermarket Type1,622
FDY03,17.6,Regular,0.076121831,Meat,111,OUT046,1997,Small,Tier 1,Supermarket Type1,1125
FDU44,12.15,Regular,0.058516562,Fruits and Vegetables,164,OUT049,1999,Medium,Tier 1,Supermarket Type1,5198
FDZ04,9.31,low fat,0.037923509,Frozen Foods,61,OUT013,1987,High,Tier 3,Supermarket Type1,379
FDU16,19.25,Regular,0.058365706,Frozen Foods,82,OUT049,1999,Medium,Tier 1,Supermarket Type1,2432
FDV07,9.5,Low Fat,0.031346387,Fruits and Vegetables,110,OUT045,2002,,Tier 2,Supermarket Type1,1657
NCL19,15.35,Low Fat,0.015663185,Others,143,OUT013,1987,High,Tier 3,Supermarket Type1,3006
FDW01,,Low Fat,0.063750302,Canned,153,OUT027,1985,Medium,Tier 3,Supermarket Type3,2287
FDC10,,Regular,0.07252476,Snack Foods,120,OUT027,1985,Medium,Tier 3,Supermarket Type3,1687
DRC12,17.85,Low Fat,0.038040837,Soft Drinks,189,OUT017,2007,,Tier 2,Supermarket Type1,3237
DRK39,7.02,Low Fat,0.049823902,Dairy,82,OUT013,1987,High,Tier 3,Supermarket Type1,2746
FDG24,,Low Fat,0.014560297,Baking Goods,81,OUT027,1985,Medium,Tier 3,Supermarket Type3,1331
FDO04,,Low Fat,0.026408698,Frozen Foods,53,OUT027,1985,Medium,Tier 3,Supermarket Type3,607
DRB25,12.3,Low Fat,0.069446588,Soft Drinks,106,OUT035,2004,Small,Tier 2,Supermarket Type1,857
FDK26,5.46,Regular,0.03217132,Canned,184,OUT035,2004,Small,Tier 2,Supermarket Type1,4287
FDM52,15.1,Low Fat,0.026046138,Frozen Foods,147,OUT045,2002,,Tier 2,Supermarket Type1,1773
FDY07,11.8,Low Fat,0.121848436,Fruits and Vegetables,46,OUT045,2002,,Tier 2,Supermarket Type1,597
NCO06,19.25,Low Fat,0.108470504,Household,33,OUT018,2009,Medium,Tier 3,Supermarket Type2,441
FDO10,13.65,Regular,0,Snack Foods,55,OUT045,2002,,Tier 2,Supermarket Type1,1431
FDK34,13.35,Low Fat,0.038494623,Snack Foods,240,OUT013,1987,High,Tier 3,Supermarket Type1,2860
FDS33,,Regular,0.122830885,Snack Foods,86,OUT027,1985,Medium,Tier 3,Supermarket Type3,3364
FDO45,13.15,Regular,0.038029746,Snack Foods,88,OUT045,2002,,Tier 2,Supermarket Type1,1757
FDF08,14.3,Regular,0.065207559,Fruits and Vegetables,89,OUT046,1997,Small,Tier 1,Supermarket Type1,966
FDH58,12.3,Low Fat,0.037014587,Snack Foods,115,OUT045,2002,,Tier 2,Supermarket Type1,1958
FDS03,7.825,Low Fat,0.133281968,Meat,63,OUT010,1998,,Tier 3,Grocery Store,129
DRF03,19.1,Low Fat,0.045299563,Dairy,38,OUT035,2004,Small,Tier 2,Supermarket Type1,365
FDE02,8.71,low fat,0.121149472,Canned,93,OUT013,1987,High,Tier 3,Supermarket Type1,1783
NCZ06,19.6,Low Fat,0.094083303,Household,252,OUT013,1987,High,Tier 3,Supermarket Type1,2790
FDW49,19.5,Low Fat,0,Canned,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,2328
FDR23,15.85,Low Fat,0,Breads,174,OUT017,2007,,Tier 2,Supermarket Type1,2822
NCJ29,,Low Fat,0.035022503,Health and Hygiene,85,OUT027,1985,Medium,Tier 3,Supermarket Type3,2045
FDY35,17.6,Regular,0.016060186,Breads,47,OUT045,2002,,Tier 2,Supermarket Type1,505
FDZ01,,Regular,0.009014978,Canned,102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3095
FDX19,19.1,Low Fat,0.096733815,Fruits and Vegetables,233,OUT046,1997,Small,Tier 1,Supermarket Type1,5141
FDG44,6.13,Low Fat,0.102607233,Fruits and Vegetables,54,OUT018,2009,Medium,Tier 3,Supermarket Type2,808
FDQ23,6.55,Low Fat,0.024521191,Breads,100,OUT035,2004,Small,Tier 2,Supermarket Type1,2665
FDY22,16.5,Regular,0.160624116,Snack Foods,143,OUT017,2007,,Tier 2,Supermarket Type1,2588
NCN41,17,Low Fat,0.052165855,Health and Hygiene,125,OUT013,1987,High,Tier 3,Supermarket Type1,1108
FDA47,10.5,Regular,0,Baking Goods,162,OUT045,2002,,Tier 2,Supermarket Type1,1304
NCD19,8.93,Low Fat,0,Household,55,OUT045,2002,,Tier 2,Supermarket Type1,331
FDO36,,Low Fat,0.07753654,Baking Goods,180,OUT027,1985,Medium,Tier 3,Supermarket Type3,3235
FDH20,16.1,Regular,0.024928351,Fruits and Vegetables,95,OUT013,1987,High,Tier 3,Supermarket Type1,3089
FDN12,,LF,0.08071118,Baking Goods,113,OUT027,1985,Medium,Tier 3,Supermarket Type3,3355
NCJ30,5.82,Low Fat,0.080968973,Household,171,OUT018,2009,Medium,Tier 3,Supermarket Type2,2037
FDB09,16.25,Low Fat,0.057485328,Fruits and Vegetables,126,OUT049,1999,Medium,Tier 1,Supermarket Type1,1867
FDA09,13.35,Regular,0.149669322,Snack Foods,180,OUT045,2002,,Tier 2,Supermarket Type1,898
FDL24,,Regular,0.024776026,Baking Goods,172,OUT027,1985,Medium,Tier 3,Supermarket Type3,7759
FDP03,5.15,Regular,0.061165512,Meat,125,OUT035,2004,Small,Tier 2,Supermarket Type1,2848
FDR58,,Low Fat,0.041718456,Snack Foods,94,OUT027,1985,Medium,Tier 3,Supermarket Type3,2868
FDO13,7.865,Low Fat,0.06100886,Breakfast,166,OUT013,1987,High,Tier 3,Supermarket Type1,3617
DRD49,9.895,Low Fat,0.167799329,Soft Drinks,239,OUT035,2004,Small,Tier 2,Supermarket Type1,5243
NCF42,17.35,Low Fat,0.167351411,Household,176,OUT035,2004,Small,Tier 2,Supermarket Type1,2109
DRK35,8.365,Low Fat,0.071832909,Hard Drinks,36,OUT035,2004,Small,Tier 2,Supermarket Type1,721
FDR58,6.675,Low Fat,0.041886576,Snack Foods,92,OUT013,1987,High,Tier 3,Supermarket Type1,1203
FDQ15,,Regular,0.150341867,Meat,83,OUT027,1985,Medium,Tier 3,Supermarket Type3,1868
NCP50,17.35,Low Fat,0.020542737,Others,80,OUT013,1987,High,Tier 3,Supermarket Type1,322
FDV45,16.75,Low Fat,0.045047439,Snack Foods,186,OUT046,1997,Small,Tier 1,Supermarket Type1,3942
DRP35,18.85,Low Fat,0.091008572,Hard Drinks,129,OUT049,1999,Medium,Tier 1,Supermarket Type1,3195
FDN23,6.575,Regular,0.07549348,Breads,143,OUT035,2004,Small,Tier 2,Supermarket Type1,3338
FDS44,12.65,Regular,0.156286566,Fruits and Vegetables,238,OUT049,1999,Medium,Tier 1,Supermarket Type1,4086
NCI54,15.2,Low Fat,0.033735909,Household,110,OUT018,2009,Medium,Tier 3,Supermarket Type2,1856
FDH40,,Regular,0.078547351,Frozen Foods,79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1380
FDF46,7.07,Low Fat,0.093653464,Snack Foods,113,OUT035,2004,Small,Tier 2,Supermarket Type1,1267
FDA21,13.65,Low Fat,0.036107198,Snack Foods,184,OUT018,2009,Medium,Tier 3,Supermarket Type2,5182
FDI41,,Regular,0.109003832,Frozen Foods,145,OUT019,1985,Small,Tier 1,Grocery Store,147
FDE35,7.06,Regular,0.073480266,Starchy Foods,58,OUT010,1998,,Tier 3,Grocery Store,58
DRJ24,11.8,Low Fat,0.113234914,Soft Drinks,186,OUT013,1987,High,Tier 3,Supermarket Type1,5367
NCK17,,Low Fat,0.037711338,Health and Hygiene,41,OUT027,1985,Medium,Tier 3,Supermarket Type3,1358
FDA15,9.3,Low Fat,0.016054884,Dairy,250,OUT045,2002,,Tier 2,Supermarket Type1,5976
FDD36,,Low Fat,0.021170542,Baking Goods,117,OUT027,1985,Medium,Tier 3,Supermarket Type3,2251
DRD60,,Low Fat,0.065188619,Soft Drinks,181,OUT019,1985,Small,Tier 1,Grocery Store,181
FDA46,13.6,Low Fat,0.117537563,Snack Foods,195,OUT013,1987,High,Tier 3,Supermarket Type1,5443
NCO54,19.5,Low Fat,0.01430324,Household,57,OUT045,2002,,Tier 2,Supermarket Type1,1547
FDL48,19.35,Regular,0.137697119,Baking Goods,47,OUT010,1998,,Tier 3,Grocery Store,145
NCM19,,Low Fat,0.047008497,Others,112,OUT027,1985,Medium,Tier 3,Supermarket Type3,5063
FDS31,13.1,reg,0,Fruits and Vegetables,178,OUT049,1999,Medium,Tier 1,Supermarket Type1,3067
FDV12,16.7,Regular,0.060863167,Baking Goods,97,OUT035,2004,Small,Tier 2,Supermarket Type1,2857
FDQ31,5.785,Regular,0,Fruits and Vegetables,87,OUT035,2004,Small,Tier 2,Supermarket Type1,1406
FDK55,,Low Fat,0.045105407,Meat,89,OUT019,1985,Small,Tier 1,Grocery Store,178
DRG15,6.13,Low Fat,0.076855207,Dairy,59,OUT049,1999,Medium,Tier 1,Supermarket Type1,1470
NCR17,9.8,Low Fat,0.024482644,Health and Hygiene,116,OUT018,2009,Medium,Tier 3,Supermarket Type2,2896
FDV01,,Regular,0,Canned,154,OUT027,1985,Medium,Tier 3,Supermarket Type3,6515
FDT21,7.42,Low Fat,0.020474913,Snack Foods,248,OUT018,2009,Medium,Tier 3,Supermarket Type2,996
FDT10,16.7,Regular,0.062044506,Snack Foods,57,OUT046,1997,Small,Tier 1,Supermarket Type1,948
FDL56,,Low Fat,0.220225608,Fruits and Vegetables,85,OUT019,1985,Small,Tier 1,Grocery Store,87
FDS49,9,Low Fat,0.079794329,Canned,80,OUT017,2007,,Tier 2,Supermarket Type1,1178
FDT32,,Regular,0.114916546,Fruits and Vegetables,188,OUT019,1985,Small,Tier 1,Grocery Store,565
NCX42,6.36,Low Fat,0.00597362,Household,164,OUT013,1987,High,Tier 3,Supermarket Type1,2137
FDX26,17.7,LF,0.146973462,Dairy,184,OUT010,1998,,Tier 3,Grocery Store,547
FDN02,16.5,Low Fat,0.07376631,Canned,208,OUT013,1987,High,Tier 3,Supermarket Type1,2691
FDJ40,,Regular,0.049349121,Frozen Foods,108,OUT027,1985,Medium,Tier 3,Supermarket Type3,3057
FDU13,,low fat,0.328390948,Canned,146,OUT019,1985,Small,Tier 1,Grocery Store,588
DRE27,11.85,Low Fat,0.13267058,Dairy,96,OUT046,1997,Small,Tier 1,Supermarket Type1,978
FDS27,10.195,Regular,0.012455787,Meat,197,OUT035,2004,Small,Tier 2,Supermarket Type1,2356
FDU44,,Regular,0.058142797,Fruits and Vegetables,162,OUT027,1985,Medium,Tier 3,Supermarket Type3,3086
DRM59,,Low Fat,0.006289291,Hard Drinks,153,OUT019,1985,Small,Tier 1,Grocery Store,461
FDT08,13.65,Low Fat,0.04929502,Fruits and Vegetables,150,OUT049,1999,Medium,Tier 1,Supermarket Type1,2696
FDL46,20.35,low fat,0.054362695,Snack Foods,117,OUT017,2007,,Tier 2,Supermarket Type1,1649
NCV30,20.2,Low Fat,0.110356797,Household,62,OUT010,1998,,Tier 3,Grocery Store,126
FDP51,13.85,Regular,0.085274988,Meat,119,OUT046,1997,Small,Tier 1,Supermarket Type1,2014
FDA51,8.05,Regular,0.164542555,Dairy,112,OUT013,1987,High,Tier 3,Supermarket Type1,1707
FDM46,7.365,Low Fat,0.160292264,Snack Foods,94,OUT045,2002,,Tier 2,Supermarket Type1,932
FDK02,12.5,Low Fat,0.112859454,Canned,118,OUT017,2007,,Tier 2,Supermarket Type1,2157
FDJ57,7.42,Regular,0.021569566,Seafood,184,OUT035,2004,Small,Tier 2,Supermarket Type1,4643
FDJ45,,Low Fat,0.073055148,Seafood,33,OUT027,1985,Medium,Tier 3,Supermarket Type3,1280
NCB31,6.235,Low Fat,0.119345629,Household,261,OUT017,2007,,Tier 2,Supermarket Type1,2366
FDJ03,12.35,Regular,0.072334667,Dairy,49,OUT013,1987,High,Tier 3,Supermarket Type1,886
FDT50,6.75,Regular,0.108148913,Dairy,95,OUT013,1987,High,Tier 3,Supermarket Type1,958
NCY41,16.75,Low Fat,0.07585337,Health and Hygiene,36,OUT049,1999,Medium,Tier 1,Supermarket Type1,1150
FDJ60,19.35,Regular,0.062655235,Baking Goods,163,OUT045,2002,,Tier 2,Supermarket Type1,2641
FDZ35,9.6,Regular,0.022278477,Breads,102,OUT046,1997,Small,Tier 1,Supermarket Type1,1547
FDS21,19.85,Regular,0.020961192,Snack Foods,62,OUT018,2009,Medium,Tier 3,Supermarket Type2,619
FDM52,15.1,Low Fat,0.025993423,Frozen Foods,147,OUT046,1997,Small,Tier 1,Supermarket Type1,2808
FDQ08,,Regular,0.018838681,Fruits and Vegetables,62,OUT027,1985,Medium,Tier 3,Supermarket Type3,2266
FDQ56,6.59,Low Fat,0.105577348,Fruits and Vegetables,85,OUT035,2004,Small,Tier 2,Supermarket Type1,1929
FDS47,16.75,Low Fat,0.129086113,Breads,89,OUT049,1999,Medium,Tier 1,Supermarket Type1,1054
DRM48,15.2,Low Fat,0.113125627,Soft Drinks,38,OUT045,2002,,Tier 2,Supermarket Type1,1155
FDW46,13,Regular,0.070699313,Snack Foods,65,OUT017,2007,,Tier 2,Supermarket Type1,1174
FDW27,5.86,Regular,0.151467821,Meat,154,OUT018,2009,Medium,Tier 3,Supermarket Type2,3412
NCQ05,11.395,Low Fat,0.03616416,Health and Hygiene,150,OUT010,1998,,Tier 3,Grocery Store,300
FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192,OUT010,1998,,Tier 3,Grocery Store,387
DRE12,,Low Fat,0.0704378,Soft Drinks,112,OUT027,1985,Medium,Tier 3,Supermarket Type3,2942
FDX35,5.035,Regular,0.079844043,Breads,226,OUT013,1987,High,Tier 3,Supermarket Type1,4098
FDD51,11.15,Low Fat,0.120139206,Dairy,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,452
FDY27,6.38,Low Fat,0.032028115,Dairy,178,OUT018,2009,Medium,Tier 3,Supermarket Type2,3211
NCN06,8.39,Low Fat,0.120497266,Household,162,OUT046,1997,Small,Tier 1,Supermarket Type1,2620
FDR57,5.675,Regular,0.023492524,Snack Foods,155,OUT035,2004,Small,Tier 2,Supermarket Type1,1414
FDL32,15.7,Regular,0.122657336,Fruits and Vegetables,110,OUT049,1999,Medium,Tier 1,Supermarket Type1,1565
FDW46,13,reg,0.070588037,Snack Foods,65,OUT018,2009,Medium,Tier 3,Supermarket Type2,1043
